config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,n_clusters_actual,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_size_min,cluster_size_max,cluster_size_ratio_max,n_singleton_clusters,n_small_clusters,n_rows,n_features_input,n_features_used,n_missing_imputed,explained_variance_ratio_sum,avg_assignment_confidence,min_assignment_confidence,entropy_of_assignment,ranking_score,notes
cfg_0315,with_chaos,identity,pca,5.0,gmm,8,8,0.11397371903793446,0.8961314998227128,341.74157034978066,1,143,0.34210526315789475,2,4,418,25,5,0,0.9999705018435364,0.8961483259185228,0.42221191358382065,0.2613573985310196,-0.1963740048867458,
cfg_0316,with_chaos,identity,pca,5.0,agglomerative,2,2,0.8979358225896625,0.32718639190204984,434.169867846396,7,411,0.9832535885167464,0,1,418,25,5,0,0.9999705018435364,,,,0.4704787139297012,
cfg_0317,with_chaos,identity,pca,5.0,agglomerative,3,3,0.9028666913176416,0.44806209375759093,530.4199379601847,2,409,0.9784688995215312,0,2,418,25,5,0,0.9999705018435364,,,,0.46420959895311376,
cfg_0318,with_chaos,identity,pca,5.0,agglomerative,4,4,0.5488906891978095,0.809444246615787,522.4827230979871,2,328,0.784688995215311,0,2,418,25,5,0,0.9999705018435364,,,,0.2034333624763994,
cfg_0319,with_chaos,identity,pca,5.0,agglomerative,5,5,0.5609973852964634,0.6947081250212076,537.0844050039975,2,328,0.784688995215311,0,2,418,25,5,0,0.9999705018435364,,,,0.26922734496987183,
cfg_0320,with_chaos,identity,pca,5.0,agglomerative,6,6,0.5632931314090568,0.6069887332401906,580.0210991693783,2,328,0.784688995215311,0,3,418,25,5,0,0.9999705018435364,,,,0.27709788742887376,
cfg_0321,with_chaos,identity,pca,5.0,agglomerative,7,7,0.5622254882003084,0.4768567939510183,604.0382240245044,1,328,0.784688995215311,2,4,418,25,5,0,0.9999705018435364,,,,0.19985162305479193,
cfg_0322,with_chaos,identity,pca,5.0,agglomerative,8,8,0.5432135620922653,0.4684090030960958,645.4046625996917,1,328,0.784688995215311,2,5,418,25,5,0,0.9999705018435364,,,,0.19937394714289325,
cfg_0323,with_chaos,identity,pca,6.0,gmm,2,2,0.6922420387398354,1.312784186036142,144.3905828909156,46,372,0.8899521531100478,0,0,418,25,6,0,0.9999861603759491,0.9871958654001083,0.5826088644220755,0.04104609467352455,0.1676195148212385,
cfg_0324,with_chaos,identity,pca,6.0,gmm,3,3,0.19525954701083914,1.472587156122339,240.78839596279568,11,225,0.5382775119617225,0,1,418,25,6,0,0.9999861603759491,0.966974423322399,0.5010929027254357,0.08389388093723991,-0.22235019392620775,
cfg_0325,with_chaos,identity,pca,6.0,gmm,4,4,0.19685559254272855,1.203653727203646,374.06290966575796,2,222,0.5311004784688995,0,2,418,25,6,0,0.9999861603759491,0.9660310487795928,0.5025420861595289,0.0860407150045385,-0.15719893457067555,
cfg_0326,with_chaos,identity,pca,6.0,gmm,5,5,0.20482319454070022,1.0160622439222362,401.5859511312978,2,227,0.5430622009569378,0,3,418,25,6,0,0.9999861603759491,0.9670727419730939,0.5052857392632064,0.08401009429387883,-0.1444778214161977,
cfg_0327,with_chaos,identity,pca,6.0,gmm,6,6,0.18839337999774147,1.0845340407451154,319.2218220921753,1,203,0.48564593301435405,1,3,418,25,6,0,0.9999861603759491,0.9309722373839073,0.48474389871215773,0.1761520843102064,-0.20681954744091136,
cfg_0328,with_chaos,identity,pca,6.0,gmm,7,7,0.16859158108794287,1.0066273797686989,372.8953237060012,2,190,0.45454545454545453,0,4,418,25,6,0,0.9999861603759491,0.9450663996952547,0.483125426979086,0.1499506360148817,-0.14236247386561512,
cfg_0329,with_chaos,identity,pca,6.0,gmm,8,8,0.045103317875418415,2.062791626685776,289.07614502342545,1,140,0.3349282296650718,2,4,418,25,6,0,0.9999861603759491,0.9140499309072255,0.48004918306881356,0.21166433197514636,-0.4498495888262255,
cfg_0330,with_chaos,identity,pca,6.0,agglomerative,2,2,0.8979277331762637,0.32719269331218226,434.1559943164779,7,411,0.9832535885167464,0,1,418,25,6,0,0.9999861603759491,,,,0.4704621383969029,
